ride_id,travel_date,travel_time,travel_from,travel_to,car_type,max_capacity
247,480.0,7.1,Kisii,Nairobi,Bus,49
256,479.0,11.133333333333333,Kisii,Nairobi,shuttle,11
275,477.0,5.0,Kisii,Nairobi,shuttle,11
285,477.0,9.166666666666666,Kisii,Nairobi,shuttle,11
286,477.0,9.333333333333334,Kisii,Nairobi,shuttle,11
287,477.0,7.033333333333333,Kisii,Nairobi,Bus,49
288,477.0,9.5,Kisii,Nairobi,shuttle,11
292,477.0,19.05,Kisii,Nairobi,Bus,49
298,477.0,9.0,Kisii,Nairobi,shuttle,11
302,477.0,8.666666666666666,Kisii,Nairobi,shuttle,11
310,477.0,8.0,Kisii,Nairobi,Bus,49
311,477.0,8.833333333333334,Kisii,Nairobi,shuttle,11
329,477.0,7.016666666666667,Kisii,Nairobi,Bus,49
341,477.0,8.333333333333334,Kisii,Nairobi,shuttle,11
344,477.0,8.5,Kisii,Nairobi,shuttle,11
358,477.0,8.166666666666666,Kisii,Nairobi,shuttle,11
364,477.0,7.25,Kisii,Nairobi,shuttle,11
373,477.0,7.833333333333333,Kisii,Nairobi,shuttle,11
374,477.0,7.666666666666667,Kisii,Nairobi,shuttle,11
377,477.0,7.116666666666666,Kisii,Nairobi,Bus,49
399,477.0,6.666666666666667,Kisii,Nairobi,shuttle,11
401,477.0,6.5,Kisii,Nairobi,shuttle,11
410,477.0,6.333333333333333,Kisii,Nairobi,shuttle,11
418,477.0,7.1,Kisii,Nairobi,Bus,49
427,477.0,6.166666666666667,Kisii,Nairobi,shuttle,11
432,477.0,5.666666666666667,Kisii,Nairobi,shuttle,11
434,477.0,5.833333333333333,Kisii,Nairobi,shuttle,11
436,477.0,5.5,Kisii,Nairobi,shuttle,11
438,477.0,19.066666666666666,Kisii,Nairobi,Bus,49
464,476.0,5.333333333333333,Kisii,Nairobi,shuttle,11
468,476.0,7.666666666666667,Kisii,Nairobi,shuttle,11
469,476.0,6.983333333333333,Kisii,Nairobi,Bus,49
470,476.0,7.133333333333334,Kisii,Nairobi,Bus,49
471,476.0,7.05,Kisii,Nairobi,Bus,49
473,476.0,7.1,Kisii,Nairobi,Bus,49
475,476.0,10.95,Kisii,Nairobi,shuttle,11
485,476.0,7.116666666666666,Kisii,Nairobi,Bus,49
486,476.0,7.166666666666667,Kisii,Nairobi,Bus,49
